tag,count
動作,62
多人,61
單人,60
冒險,41
合作,40
角色扮演,38
開放世界,34
線上合作,34
玩家對戰,33
3D,33
策略,32
第三人稱視角,31
自訂角色,29
劇情豐富,28
免費遊玩,26
生存,26
模擬,26
玩家合作,25
氛圍,25
射擊,23
第一人稱視角,23
奇幻,21
擬真,20
第三人稱射擊,20
探索,19
日本動畫,19
沙盒,19
休閒,18
恐怖,18
動作角色扮演,17
大型多人,17
可愛,16
血腥,16
暴力,16
搞笑,15
砍殺,14
動作冒險,13
第一人稱射擊,13
戰術,13
生存恐怖,13
搶先體驗,13
獨立,13
MMORPG,12
困難,12
心理恐怖,12
女主人翁,12
基地建設,12
末日之後,12
戰爭,11
戰鬥,11
色情內容,11
好評原聲帶,11
團隊導向,10
科幻,10
2D,10
管理,10
建造,10
放鬆,9
喪屍,9
黑暗,9
現代,9
打寶,8
城市營造,8
成人,8
歡樂,8
闔家,8
故事架構豐富,7
電影感,7
競技,7
電競,7
軍事,7
資源管理,7
迷宮探索,7
輕度 Rogue,7
值得重玩,7
中世紀,7
等角視角,7
黑暗奇幻,7
工藝,7
武術,6
可製作模組,6
虛擬實境,6
卡牌遊戲,6
程序生成,6
色彩鮮艷,6
物理,6
龍,6
運動,6
控制器,6
俯視視角,6
開放世界生存工藝,6
日系角色扮演,6
劇情,6
類魂,5
歷史,5
大逃殺,5
沉浸模擬,5
類 Rogue,5
回合制戰鬥,5
回合制策略,5
像素風格,5
回合制戰術,5
動作類 Rogue,5
庫存管理,5
感性,5
經典,5
毀滅,5
策略角色扮演,5
即時策略,5
貿易,4
人工智慧,4
卡通風格,4
重製,4
潛行,4
牌組製作,4
選擇導向,4
賭博,4
單機多人,4
假 3D,4
狩獵,4
戀愛模擬,4
自動化,4
經濟,4
殖民模擬,4
英雄射擊,3
生活模擬,3
卡牌對戰,3
街機,3
格鬥,3
劍術,3
Hentai,3
競速,3
汽機車模擬,3
動作即時策略,3
多人線上戰術競技,3
機器人,3
太空,3
桌上遊戲,3
撤離射擊,3
復古,3
放置,3
生物收集,3
槍械改造,3
團隊角色扮演,3
2D 格鬥,3
3D 格鬥,3
多結局,3
單機合作,3
地底,3
魔法,3
戰術角色扮演,3
大戰略,3
電馭叛客,2
3D 平台,2
愜意,2
自然,2
類 Rogue 牌組製作,2
馬匹,2
自選冒險體驗,2
跑酷,2
LGBTQ+,2
駕駛,2
犯罪,2
戰爭遊戲,2
架空歷史,2
即時戰術,2
異步多人,2
水底,2
未來,2
動畫和模型製作,2
刷寶射擊,2
忍者,2
麻將,2
解謎,2
漫畫,2
派對遊戲,2
回合制,2
工作場所不宜,2
視覺小說,2
時光旅行,2
派對,2
愛情,2
烹飪,2
懸疑,2
運輸,2
彈幕,2
巨作,2
裸露,2
時間管理,2
合作戰役,2
4X,2
外交,2
快節奏,1
僅滑鼠,1
2D 平台,1
籃球,1
類銀河戰士惡魔城,1
點擊冒險,1
步行模擬,1
反烏托邦,1
駭客,1
交換卡牌,1
心理,1
西部,1
唯美,1
資本主義,1
高爾夫球,1
迷你高爾夫,1
塔防,1
老式,1
設計及繪圖,1
教育學習,1
點擊遊戲,1
收集型平台,1
神話,1
釣魚,1
小遊戲,1
對話,1
自動對戰,1
載具對戰,1
飛行,1
二戰,1
坦克,1
海戰,1
冷戰,1
帶狀捲軸動作,1
惡魔,1
互動小說,1
文字遊戲,1
記敘,1
模組,1
鮮血,1
棒球,1
電腦角色扮演,1
80 年代,1
風格化,1
即時,1
政治性,1
恐龍,1
驚悚,1
棋盤遊戲,1
網路梗,1
黑色幽默,1
永久死亡,1
外國,1
分割畫面,1
角色動作,1
競技場射擊,1
華麗格鬥,1
機甲,1
美國,1
平台,1
調查,1
四人單機,1
音樂,1
工具,1
科學,1
